"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","IC group given","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","AtomNR of IC","groupsAndICs","COMMENTS","INCHI_KEY"
"OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1","117-34-0","R2182353","M8924","-","44","diphenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.94","Log unit","3.94","Log unit","25.0","?C","O=C(O)C(c1ccccc1)c1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","PYHXGXCGESYPCW-UHFFFAOYSA"
"C[C@H](OC1=C(Cl)C=C(Cl)C=C1)C(O)=O","120-36-5","R2182354","M130897","-","45","2-(2,4-DICHLOROPHENOXY)PROPANOIC ACID","-","Koerner","Koerner","A3183","-","467","6","3.1","Log unit","3.1","Log unit","","-","O=C(O)C(Oc1c(Cl)cc(cc1)Cl)C","aliph. carboxylic acid","","","-","","-","","","","-","MZHCENGPTKEIGP-YFKPBYRVSA"
"OC(=O)COC1=CC=C(Cl)C=C1","122-88-3","R2182355","M10518","-","46","p-Chlorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.1","Log unit","3.1","Log unit","25.0","?C","O=C(O)COc1ccc(Cl)cc1","aliph. carboxylic acid","","","-","","-","","","","-","SODPIMGUZLOIPE-UHFFFAOYSA"
"OC(=O)COC1=CC=CC=C1","122-59-8","R2182356","M6066","-","47","phenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.17","Log unit","3.17","Log unit","25.0","?C","O=C(O)COc1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","LCPDWSOZIOUXRV-UHFFFAOYSA"
"CC(=O)CCC(O)=O","123-76-2","R2182357","M19168","-","48","LEVULINIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.64","Log unit","4.64","Log unit","18.0","?C","O=C(O)CCC(=O)C","aliph. carboxylic acid","","","-","","-","","","","-","JOOXCMJARBKPKM-UHFFFAOYSA"
"OC(=O)CC(O)=O","141-82-2","R2182358","M7880","-","49","malonic acid","-","Koerner","Koerner","A3183","-","467","6","2.85","Log unit","2.85","Log unit","25.0","?C","O=C(O)CC(=O)O","aliph. carboxylic acid","","","-","","-","","","","-","OFOBLEOULBTSOW-UHFFFAOYSA"
"OC(=O)CCI","141-76-4","R2182359","M5698","-","50","3-IODOPROPIONIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.09","Log unit","4.09","Log unit","18.0","?C","O=C(O)CCI","aliph. carboxylic acid","","","-","","-","","","","-","KMRNTNDWADEIIX-UHFFFAOYSA"
"OC(=O)CF","144-49-0","R2182360","M19636","-","51","FLUOROACETIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.586","Log unit","2.586","Log unit","25.0","?C","O=C(O)CF","aliph. carboxylic acid","","","-","","-","","","","-","QEWYKACRFQMRMB-UHFFFAOYSA"
"C[C@@H](O)CC(O)=O","300-85-6","R2182361","M67287","-","52","b-Hydroxybutyric Acid","-","Koerner","Koerner","A3183","-","467","6","4.41","Log unit","4.41","Log unit","22.0","?C","O=C(O)CC(O)C","aliph. carboxylic acid","","","-","","-","","","","-","WHBMMWSBFZVSSR-GSVOUGTGSA"
"OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","305-03-3","R2182362","M4913","-","53","Chlorambucil","-","Koerner","Koerner","A3183","-","467","6","5.75","Log unit","5.75","Log unit","","-","O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1","aliph. carboxylic acid","","","-","","-","","","","-","JCKYGMPEJWAADB-UHFFFAOYSA"
"COC1=C(O)C=CC(CC(O)=O)=C1","306-08-1","R2182363","M15777","-","54","4-HYDROXY-3-METHOXY-BENZENEACETIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.41","Log unit","4.41","Log unit","25.0","?C","O=C(O)Cc1ccc(c(OC)c1)O","aliph. carboxylic acid","","","-","","-","","","","-","QRMZSPFSDQBLIX-UHFFFAOYSA"
"O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O","327-97-9","R2182364","M55257","-","55","Chlorogenic Acid","-","Koerner","Koerner","A3183","-","467","6","2.66","Log unit","2.66","Log unit","27.0","?C","O=C(O)[C@@]1(CC(C(C(O=C(O)C=Cc2cc(c(cc2)O)O)C1)O)O)O","aliph. carboxylic acid","","","-","","-","","","","-","CWVRJTMFETXNAD-JUHZACGLSA"
"OC(=O)CC1=CC=CC(F)=C1","331-25-9","R2182365","M13466","-","56","m-Fluorophenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","4.13","Log unit","4.13","Log unit","25.0","?C","O=C(O)Cc1cc(F)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","YEAUYVGUXSZCFI-UHFFFAOYSA"
"OC(=O)COC1=C(F)C=CC=C1","348-10-7","R2182366","M1276","-","57","o-Fluorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.08","Log unit","3.08","Log unit","25.0","?C","O=C(O)COc1c(F)cccc1","aliph. carboxylic acid","","","-","","-","","","","-","CEAXCCNKYPOHDP-UHFFFAOYSA"
"OC(=O)CC#N","372-09-8","R2182367","M20250","-","58","CYANOACETIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.45","Log unit","2.45","Log unit","25.0","?C","O=C(O)CC#N","aliph. carboxylic acid","","","-","","-","","","","-","MLIREBYILWEBDM-UHFFFAOYSA"
"OC(=O)COC1=CC(F)=CC=C1","404-98-8","R2182368","M2101","-","59","m-Fluorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.13","Log unit","3.13","Log unit","25.0","?C","O=C(O)COc1cc(F)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","DMYZZZCPJOWSNT-UHFFFAOYSA"
"OC(=O)COC1=CC=C(F)C=C1","405-79-8","R2182369","M13985","-","60","p-Fluorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.13","Log unit","3.13","Log unit","25.0","?C","O=C(O)COc1ccc(F)cc1","aliph. carboxylic acid","","","-","","-","","","","-","ZBIULCVFFJJYTN-UHFFFAOYSA"
"OC(=O)CC1=CC=C(F)C=C1","405-50-5","R2182370","M6745","-","61","p-Fluorophenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","4.24","Log unit","4.24","Log unit","25.0","?C","O=C(O)Cc1ccc(F)cc1","aliph. carboxylic acid","","","-","","-","","","","-","MGKPFALCNDRSQD-UHFFFAOYSA"
"NC(=O)NCC(O)=O","462-60-2","R2182371","M20564","-","62","N-(AMINOCARBONYL)GLYCINE","-","Koerner","Koerner","A3183","-","467","6","3.889","Log unit","3.889","Log unit","15.0","?C","O=C(O)CNC(=O)N","aliph. carboxylic acid","","","-","","-","","","","-","KZVRXPPUJQRGFN-UHFFFAOYSA"
"OC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2","467-69-6","R2182372","M20626","-","63","FLURENOL","-","Koerner","Koerner","A3183","-","467","6","1.09","Log unit","1.09","Log unit","","-","O=C(O)C1(O)c2c(cccc2)c2c1cccc2","aliph. carboxylic acid","","","-","","-","","","","-","GXAMYUGOODKVRM-UHFFFAOYSA"
"OC[C@H](O)C(O)=O","473-81-4","R2182373","M130898","-","64","Glyceric Acid","-","Koerner","Koerner","A3183","-","467","6","3.55","Log unit","3.55","Log unit","25.0","?C","O=C(O)C(O)CO","aliph. carboxylic acid","","","-","","-","","","","-","RBNPOMFGQQGHHO-REOHCLBHSA"
"OC(=O)CCC1=CC=CC=C1","501-52-0","R2182374","M13058","-","65","BETA-PHENYLPROPIONIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.66","Log unit","4.66","Log unit","18.0","?C","O=C(O)CCc1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","XMIIGOLPHOKFCH-UHFFFAOYSA"
"CC(C)CC(O)=O","503-74-2","R2182375","M3566","-","66","ISOVALERIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.77","Log unit","4.77","Log unit","20.0","?C","O=C(O)CC(C)C","aliph. carboxylic acid","","","-","","-","","","","-","GWYFCOCPABKNJV-UHFFFAOYSA"
"OCCC(O)=O","503-66-2","R2182376","M20996","-","67","Hydracrylic Acid","-","Koerner","Koerner","A3183","-","467","6","4.51","Log unit","4.51","Log unit","25.0","?C","O=C(O)CCO","aliph. carboxylic acid","","","-","","-","","","","-","ALRHLSYJTWAHJZ-UHFFFAOYSA"
"C[C@@](O)(C(O)=O)C1=CC=CC=C1","515-30-0","R2182377","M124303","-","68","ALPHA-HYDROXY-ALPHA-METHYL BENZENEACETIC ACID","-","Koerner","Koerner","A3183","-","467","6","3.53","Log unit","3.53","Log unit","18.0","?C","O=C(O)[C@@](O)(C)c1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","NWCHELUCVWSRRS-VIFPVBQESA"
"CC(C(O)=O)C(O)=O","516-05-2","R2182378","M21151","-","69","METHYL MALONIC ACID","-","Koerner","Koerner","A3183","-","467","6","3.12","Log unit","3.12","Log unit","20.0","?C","O=C(O)C(C)C(=O)O","aliph. carboxylic acid","","","-","","-","","","","-","ZIYVHBGGAOATLY-UHFFFAOYSA"
"OC(=O)CCCCC[C@@H]1NC(=O)CS1","539-35-5","R2182379","M130899","-","70","Mycobacidin","-","Koerner","Koerner","A3183","-","467","6","5.1","Log unit","5.1","Log unit","","-","O=C(O)CCCCCC1SCC(=O)N1","aliph. carboxylic acid","","","-","","-","","","","-","CSOJYIADHHNGRM-MRVPVSSYSA"
"OC(=O)CC1=CC2=C(C=CC=C2)C=C1","581-96-4","R2182380","M21911","-","71","2-NAPHTHALENEACETIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.25","Log unit","4.25","Log unit","25.0","?C","O=C(O)Cc1cc2c(cc1)cccc2","aliph. carboxylic acid","","","-","","-","","","","-","VIBOGIYPPWLDTI-UHFFFAOYSA"
"OC(=O)COC1=CC=CC(Cl)=C1","588-32-9","R2182381","M13195","-","72","m-Chlorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.07","Log unit","3.07","Log unit","25.0","?C","O=C(O)COc1cc(Cl)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","XSBUXVWJQVTYLC-UHFFFAOYSA"
"OC(=O)COC1=CC(Cl)=C(Cl)C=C1","588-22-7","R2182382","M10517","-","73","3,4-Dichlorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","2.92","Log unit","2.92","Log unit","20.0","?C","O=C(O)COc1ccc(c(Cl)c1)Cl","aliph. carboxylic acid","","","-","","-","","","","-","SNYRXHULAWEECU-UHFFFAOYSA"
"CC(C)(O)C(O)=O","594-61-6","R2182383","M1103","-","74","A-HYDROXY-I-BUTYRIC ACID","-","Koerner","Koerner","A3183","-","467","6","3.61","Log unit","3.61","Log unit","25.0","?C","O=C(O)C(O)(C)C","aliph. carboxylic acid","","","-","","-","","","","-","BWLBGMIXKSTLSX-UHFFFAOYSA"
"CC(C)(C(O)=O)C(O)=O","595-46-0","R2182384","M8180","-","75","DIMETHYLMALONIC ACID","-","Koerner","Koerner","A3183","-","467","6","3.15","Log unit","3.15","Log unit","25.0","?C","O=C(O)C(C)(C)C(=O)O","aliph. carboxylic acid","","","-","","-","","","","-","OREAFAJWWJHCOT-UHFFFAOYSA"
"CCC(C)(C)C(O)=O","595-37-9","R2182385","M22154","-","76","2,2-DIMETHYL BUTYRIC ACID","-","Koerner","Koerner","A3183","-","467","6","5.03","Log unit","5.03","Log unit","18.0","?C","O=C(O)C(CC)(C)C","aliph. carboxylic acid","","","-","","-","","","","-","VUAXHMVRKOTJKP-UHFFFAOYSA"
"C[C@H](Cl)C(O)=O","598-78-7","R2182386","M110064","-","77","2-CHLOROPROPIONIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.8","Log unit","2.8","Log unit","25.0","?C","O=C(O)C(Cl)C","aliph. carboxylic acid","","","-","","-","","","","-","GAWAYYRQGQZKCR-REOHCLBHSA"
"C[C@H](Br)C(O)=O","598-72-1","R2182387","M130900","-","78","A-BROMOPROPIONIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.97","Log unit","2.97","Log unit","18.0","?C","O=C(O)C(Br)C","aliph. carboxylic acid","","","-","","-","","","","-","MONMFXREYOKQTI-REOHCLBHSA"
"CCC(C(O)=O)C(O)=O","601-75-2","R2182388","M22253","-","79","ETHYLMALONIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.96","Log unit","2.96","Log unit","25.0","?C","O=C(O)C(CC)C(=O)O","aliph. carboxylic acid","","","-","","-","","","","-","UKFXDFUAPNAMPJ-UHFFFAOYSA"
"OC(=O)COC1=C(Cl)C=CC=C1","614-61-9","R2182389","M8150","-","80","o-Chlorophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.05","Log unit","3.05","Log unit","25.0","?C","O=C(O)COc1c(Cl)cccc1","aliph. carboxylic acid","","","-","","-","","","","-","OPQYFNRLWBWCST-UHFFFAOYSA"
"CCCC(C(O)=O)C(O)=O","616-62-6","R2182390","M22536","-","81","PROPYLPROPANEDIOIC ACID","-","Koerner","Koerner","A3183","-","467","6","2.99","Log unit","2.99","Log unit","25.0","?C","O=C(O)C(CCC)C(=O)O","aliph. carboxylic acid","","","-","","-","","","","-","VQDJODAWOFNASI-UHFFFAOYSA"
"CCC[C@H](O)C(O)=O","617-31-2","R2182391","M122623","-","82","2-hydroxy-pentanoic acid","-","Koerner","Koerner","A3183","-","467","6","3.89","Log unit","3.89","Log unit","25.0","?C","O=C(O)C(O)CCC","aliph. carboxylic acid","","","-","","-","","","","-","JRHWHSJDIILJAT-BYPYZUCNSA"
"CC1=CC=C(CC(O)=O)C=C1","622-47-9","R2182392","M3595","-","83","p-Methylphenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","4.37","Log unit","4.37","Log unit","25.0","?C","O=C(O)Cc1ccc(cc1)C","aliph. carboxylic acid","","","-","","-","","","","-","GXXXUZIRGXYDFP-UHFFFAOYSA"
"CC(C)CCC(O)=O","646-07-1","R2182393","M2580","-","84","4-METHYLPENTANOIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.84","Log unit","4.84","Log unit","18.0","?C","O=C(O)CCC(C)C","aliph. carboxylic acid","","","-","","-","","","","-","FGKJLKRYENPLQH-UHFFFAOYSA"
"ON(CC(O)=O)C=O","689-13-4","R2182394","M23103","-","85","Hadacidin","-","Koerner","Koerner","A3183","-","467","6","3.5","Log unit","3.5","Log unit","","-","O=C(O)CN(O)C=O","aliph. carboxylic acid","","","-","","-","","","","-","URJHVPKUWOUENU-UHFFFAOYSA"
"CC1=CC=C(OCC(O)=O)C=C1","940-64-7","R2182395","M10322","-","86","p-Methylphenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.21","Log unit","3.21","Log unit","25.0","?C","O=C(O)COc1ccc(cc1)C","aliph. carboxylic acid","","","-","","-","","","","-","SFTDDFBJWUWKMN-UHFFFAOYSA"
"CC1=CC=CC(OCC(O)=O)=C1","1643-15-8","R2182396","M12093","-","87","m-Methylphenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.2","Log unit","3.2","Log unit","25.0","?C","O=C(O)COc1cc(ccc1)C","aliph. carboxylic acid","","","-","","-","","","","-","VZECTCSEONQIPP-UHFFFAOYSA"
"OC(=O)C1CC1","1759-53-1","R2182397","M25722","-","88","CYCLOPROPANECARBOXYLIC ACID","-","Koerner","Koerner","A3183","-","467","6","4.83","Log unit","4.83","Log unit","25.0","?C","O=C(O)C1CC1","aliph. carboxylic acid","","","-","","-","","","","-","YMGUBTXCNDTFJI-UHFFFAOYSA"
"OC(=O)COC1=CC=CC(Br)=C1","1798-99-8","R2182398","M1581","-","89","m-Bromophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.09","Log unit","3.09","Log unit","25.0","?C","O=C(O)COc1cc(Br)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","CRKQPDCSWOJBJY-UHFFFAOYSA"
"OC(=O)COC1=CC=C(C=C1)[N+]([O-])=O","1798-11-4","R2182399","M508","-","90","p-Nitrophenoxyacetic Acid","-","Koerner","Koerner","A3183","-","467","6","2.89","Log unit","2.89","Log unit","25.0","?C","O=C(O)COc1ccc([N+](=O)[O-])cc1","aliph. carboxylic acid","","","-","","-","","","","-","AVDLFIONKHGQAP-UHFFFAOYSA"
"OC(=O)CC1=CC=C(I)C=C1","1798-06-7","R2182400","M2655","-","91","p-Iodophenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","4.18","Log unit","4.18","Log unit","25.0","?C","O=C(O)Cc1ccc(I)cc1","aliph. carboxylic acid","","","-","","-","","","","-","FJSHTWVDFAUNCO-UHFFFAOYSA"
"OC(=O)CCCC1=CC=CC=C1","1821-12-1","R2182401","M7770","-","92","4-Phenylbutyric acid","-","Koerner","Koerner","A3183","-","467","6","4.76","Log unit","4.76","Log unit","25.0","?C","O=C(O)CCCc1ccccc1","aliph. carboxylic acid","","","-","","-","","","","-","OBKXEAXTFZPCHS-UHFFFAOYSA"
"COC1=CC=C(OCC(O)=O)C=C1","1877-75-4","R2182402","M763","-","93","p-Methoxyphenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.21","Log unit","3.21","Log unit","25.0","?C","O=C(O)COc1ccc(cc1)OC","aliph. carboxylic acid","","","-","","-","","","","-","BHFSBJHPPFJCOS-UHFFFAOYSA"
"OC(=O)CC1=CC=CC(=C1)[N+]([O-])=O","1877-73-2","R2182403","M12619","-","94","m-Nitrophenylacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.97","Log unit","3.97","Log unit","25.0","?C","O=C(O)Cc1cc([N+](=O)[O-])ccc1","aliph. carboxylic acid","","","-","","-","","","","-","WUKHOVCMWXMOOA-UHFFFAOYSA"
"OC(=O)COC1=CC=C(I)C=C1","1878-94-0","R2182404","M9806","-","95","p-Iodophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.16","Log unit","3.16","Log unit","25.0","?C","O=C(O)COc1ccc(I)cc1","aliph. carboxylic acid","","","-","","-","","","","-","RKORKXFKXYYHAQ-UHFFFAOYSA"
"OC(=O)COC1=CC=CC(I)=C1","1878-93-9","R2182405","M2751","-","96","m-Iodophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.13","Log unit","3.13","Log unit","25.0","?C","O=C(O)COc1cc(I)ccc1","aliph. carboxylic acid","","","-","","-","","","","-","FNKRPPVPTWVSFF-UHFFFAOYSA"
"OC(=O)COC1=C(I)C=CC=C1","1878-92-8","R2182406","M8335","-","97","o-Iodophenoxyacetic acid","-","Koerner","Koerner","A3183","-","467","6","3.17","Log unit","3.17","Log unit","25.0","?C","O=C(O)COc1c(I)cccc1","aliph. carboxylic acid","","","-","","-","","","","-","OXMKQZUBDBNJTE-UHFFFAOYSA"
"OC(=O)COC1=CC=C(Br)C=C1","1878-91-7","R2182407","M10763","-","98","p-Bromophenoxyacetic acid","-","Koerner","Koerner","A3183","-","468","6","3.13","Log unit","3.13","Log unit","25.0","?C","O=C(O)COc1ccc(Br)cc1","aliph. carboxylic acid","","","-","","-","","","","-","SZEBGAQWWSUOHT-UHFFFAOYSA"
"OC(=O)COC1=CC=CC(=C1)[N+]([O-])=O","1878-88-2","R2182408","M896","-","99","m-Nitrophenoxyacetic Acid","-","Koerner","Koerner","A3183","-","468","6","2.95","Log unit","2.95","Log unit","25.0","?C","O=C(O)COc1cc([N+](=O)[O-])ccc1","aliph. carboxylic acid","","","-","","-","","","","-","BNRRQAASFDGMMQ-UHFFFAOYSA"
"OC(=O)COC1=C(C=CC=C1)[N+]([O-])=O","1878-87-1","R2182409","M25897","-","100","o-Nitrophenoxyacetic Acid","-","Koerner","Koerner","A3183","-","468","6","2.9","Log unit","2.9","Log unit","25.0","?C","O=C(O)COc1c([N+](=O)[O-])cccc1","aliph. carboxylic acid","","","-","","-","","","","-","TYHHDWAHJRRYCU-UHFFFAOYSA"
"COC1=C(OCC(O)=O)C=CC=C1","1878-85-9","R2182410","M4403","-","101","O-METHOXY PHENOXYACETIC ACID","-","Koerner","Koerner","A3183","-","468","6","3.23","Log unit","3.23","Log unit","25.0","?C","O=C(O)COc1c(cccc1)OC","aliph. carboxylic acid","","","-","","-","","","","-","IHONYPFTXGQWAX-UHFFFAOYSA"
