Smiles,CASRN,Record ID,Molecule ID,External ID,N,Name,Introducer,Modifer,Article ID,PUBMED ID,PAGE,TABLE,pKa,pKa Unit,Temperature,Temperature Unit,Ionizable center smiles,IC group
OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,117-34-0,R2182353,M8924,-,44,diphenylacetic acid,Koerner,Koerner,A3183,-,467,6,3.94,Log unit,25,?C,O=C(O)C(c1ccccc1)c1ccccc1,aliph. carboxylic acid
C[C@H](OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,120-36-5,R2182354,M130897,-,45,"2-(2,4-DICHLOROPHENOXY)PROPANOIC ACID",Koerner,Koerner,A3183,-,467,6,3.1,Log unit,,-,O=C(O)C(Oc1c(Cl)cc(cc1)Cl)C,aliph. carboxylic acid
OC(=O)COC1=CC=C(Cl)C=C1,122-88-3,R2182355,M10518,-,46,p-Chlorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.1,Log unit,25,?C,O=C(O)COc1ccc(Cl)cc1,aliph. carboxylic acid
OC(=O)COC1=CC=CC=C1,122-59-8,R2182356,M6066,-,47,phenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.17,Log unit,25,?C,O=C(O)COc1ccccc1,aliph. carboxylic acid
CC(=O)CCC(O)=O,123-76-2,R2182357,M19168,-,48,LEVULINIC ACID,Koerner,Koerner,A3183,-,467,6,4.64,Log unit,18,?C,O=C(O)CCC(=O)C,aliph. carboxylic acid
OC(=O)CC(O)=O,141-82-2,R2182358,M7880,-,49,malonic acid,Koerner,Koerner,A3183,-,467,6,2.85,Log unit,25,?C,O=C(O)CC(=O)O,aliph. carboxylic acid
OC(=O)CCI,141-76-4,R2182359,M5698,-,50,3-IODOPROPIONIC ACID,Koerner,Koerner,A3183,-,467,6,4.09,Log unit,18,?C,O=C(O)CCI,aliph. carboxylic acid
OC(=O)CF,144-49-0,R2182360,M19636,-,51,FLUOROACETIC ACID,Koerner,Koerner,A3183,-,467,6,2.586,Log unit,25,?C,O=C(O)CF,aliph. carboxylic acid
C[C@@H](O)CC(O)=O,300-85-6,R2182361,M67287,-,52,b-Hydroxybutyric Acid,Koerner,Koerner,A3183,-,467,6,4.41,Log unit,22,?C,O=C(O)CC(O)C,aliph. carboxylic acid
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,305-03-3,R2182362,M4913,-,53,Chlorambucil,Koerner,Koerner,A3183,-,467,6,5.75,Log unit,,-,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,aliph. carboxylic acid
COC1=C(O)C=CC(CC(O)=O)=C1,306-08-1,R2182363,M15777,-,54,4-HYDROXY-3-METHOXY-BENZENEACETIC ACID,Koerner,Koerner,A3183,-,467,6,4.41,Log unit,25,?C,O=C(O)Cc1ccc(c(OC)c1)O,aliph. carboxylic acid
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,327-97-9,R2182364,M55257,-,55,Chlorogenic Acid,Koerner,Koerner,A3183,-,467,6,2.66,Log unit,27,?C,O=C(O)[C@@]1(CC(C(C(O=C(O)C=Cc2cc(c(cc2)O)O)C1)O)O)O,aliph. carboxylic acid
OC(=O)CC1=CC=CC(F)=C1,331-25-9,R2182365,M13466,-,56,m-Fluorophenylacetic acid,Koerner,Koerner,A3183,-,467,6,4.13,Log unit,25,?C,O=C(O)Cc1cc(F)ccc1,aliph. carboxylic acid
OC(=O)COC1=C(F)C=CC=C1,348-10-7,R2182366,M1276,-,57,o-Fluorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.08,Log unit,25,?C,O=C(O)COc1c(F)cccc1,aliph. carboxylic acid
OC(=O)CC#N,372-09-8,R2182367,M20250,-,58,CYANOACETIC ACID,Koerner,Koerner,A3183,-,467,6,2.45,Log unit,25,?C,O=C(O)CC#N,aliph. carboxylic acid
OC(=O)COC1=CC(F)=CC=C1,404-98-8,R2182368,M2101,-,59,m-Fluorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.13,Log unit,25,?C,O=C(O)COc1cc(F)ccc1,aliph. carboxylic acid
OC(=O)COC1=CC=C(F)C=C1,405-79-8,R2182369,M13985,-,60,p-Fluorophenoxyacetic acid,Koerner,Koerner,A3183,-,467,6,3.13,Log unit,25,?C,O=C(O)COc1ccc(F)cc1,aliph. carboxylic acid
OC(=O)CC1=CC=C(F)C=C1,405-50-5,R2182370,M6745,-,61,p-Fluorophenylacetic acid,Koerner,Koerner,A3183,-,467,6,4.24,Log unit,25,?C,O=C(O)Cc1ccc(F)cc1,aliph. carboxylic acid
NC(=O)NCC(O)=O,462-60-2,R2182371,M20564,-,62,N-(AMINOCARBONYL)GLYCINE,Koerner,Koerner,A3183,-,467,6,3.889,Log unit,15,?C,O=C(O)CNC(=O)N,aliph. carboxylic acid
OC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2,467-69-6,R2182372,M20626,-,63,FLURENOL,Koerner,Koerner,A3183,-,467,6,1.09,Log unit,,-,O=C(O)C1(O)c2c(cccc2)c2c1cccc2,aliph. carboxylic acid
OC[C@H](O)C(O)=O,473-81-4,R2182373,M130898,-,64,Glyceric Acid,Koerner,Koerner,A3183,-,467,6,3.55,Log unit,25,?C,O=C(O)C(O)CO,aliph. carboxylic acid
OC(=O)CCC1=CC=CC=C1,501-52-0,R2182374,M13058,-,65,BETA-PHENYLPROPIONIC ACID,Koerner,Koerner,A3183,-,467,6,4.66,Log unit,18,?C,O=C(O)CCc1ccccc1,aliph. carboxylic acid
