"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","groupsAndICs","AtomNR of IC","IC group given","IC smiles given","MultiGroupDetection","IC group detected","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","COMMENTS","INCHI_KEY"
"NC1=CC=CC=C1B(O)O","-","R937157","M134435","-","-","o-aminophenylboric acid","-","Koerner","charochkina","A5793","-","-","-","9.3","Log unit","9.3","Log unit","25.0","?C","O[B](O)c1ccccc1N","{bo2h2=1}","","","","","","","-","","","-","-","DIRRKLFMHQUJCM-UHFFFAOYSA"
"OB(O)C1=CC=CC=C1","-","R937158","M18261","-","-","Phenylboric acid","-","Koerner","charochkina","A5793","-","-","-","8.83","Log unit","8.83","Log unit","25.0","?C","O[B](O)c1ccccc1","{bo2h2=1}","","","","","","","-","","","-","-","HXITXNWTGFUOAU-UHFFFAOYSA"
"NC1=CC(=CC=C1)B(O)O","-","R937159","M84092","-","-","m-aminophenylboric acid","-","Koerner","charochkina","A5793","-","-","-","4.46","Log unit","4.46","Log unit","25.0","?C","Nc1cc([B](O)O)ccc1","{nr2=9}","","","","","","","-","","","-","-","JMZFEHDNIAQMNB-UHFFFAOYSA"
"NC1=CC(=CC=C1)B(O)O","-","R937160","M84092","-","-","m-aminophenylboric acid","-","Koerner","charochkina","A5793","-","-","-","8.8","Log unit","8.8","Log unit","25.0","?C","O[B](O)c1cccc(c1)N","{bo2h2=1}","","","","","","","-","","","-","-","JMZFEHDNIAQMNB-UHFFFAOYSA"
"NC1=CC=C(C=C1)B(O)O","-","R937161","M1050570","-","-","p-aminophenylboric acid","-","Koerner","charochkina","A5793","-","-","-","3.71","Log unit","3.71","Log unit","25.0","?C","Nc1ccc([B](O)O)cc1","{nr2=7}","","","","","","","-","","","-","-","MKPDAJWEBQRQCO-UHFFFAOYSA"
"NC1=CC=C(C=C1)B(O)O","-","R937162","M1050570","-","-","p-aminophenylboric acid","-","Koerner","charochkina","A5793","-","-","-","9.2","Log unit","9.2","Log unit","25.0","?C","O[B](O)c1ccc(N)cc1","{bo2h2=1}","","","","","","","-","","","-","-","MKPDAJWEBQRQCO-UHFFFAOYSA"
"OB(O)C1=CC=CC(O)=C1","-","R937163","M1050571","-","-","m-hydroxyphenylboric acid","-","Koerner","charochkina","A5793","-","-","-","8.55","Log unit","8.55","Log unit","25.0","?C","O[B](O)c1cccc(c1)O","{bo2h2=1}","","","","","","","-","","","-","-","WFWQWTPAPNEOFE-UHFFFAOYSA"
"SP(=S)(OC1=CC=CC=C1)OC1=CC=CC=C1","-","R937164","M26572","-","-","di-phenoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.81","Log unit","1.81","Log unit","25.0","?C","SP(=S)(Oc1ccccc1)Oc1ccccc1","{ps2h=2}","","","","","","","-","","","-","-","CKSHRDPCFLDKPV-UHFFFAOYSA"
"COP(S)(=S)OC","-","R937165","M23493","-","-","di-methoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.55","Log unit","1.55","Log unit","25.0","?C","SP(=S)(OC)OC","{ps2h=2}","","","","","","","-","","","-","-","CZGGKXNYNPJFAX-UHFFFAOYSA"
"CCOP(S)(=S)OCC","-","R937166","M19853","-","-","di-ethoxy-dithiophosphoric acid","-","Koerner","charochkina","A5793","-","-","-","1.62","Log unit","1.62","Log unit","25.0","?C","SP(=S)(OCC)OCC","{ps2h=2}","","","","","","","-","","","-","-","IRDLUHRVLVEUHA-UHFFFAOYSA"
