"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"COC(=O)C1=CC=CC=C1N","-","R933173","M19421","-","-","2-AMINOBENZOICACIDMETHYLESTER","-","Koerner","charochkina","A3555","12767145","-","-","2.36","Log unit","2.36","Log unit","Nc1c(cccc1)C(=O)OC","2.223","Log unit","9","2.1222","Log unit","","","-","-","VAMXMNNIEUEQDV-UHFFFAOYSA"
"NC1=C(C=CC=C1)C1=CC=CC=C1","-","R933174","M10827","-","-","2-Aminobiphenyl","-","Koerner","charochkina","A3555","12767145","-","-","3.78","Log unit","3.78","Log unit","Nc1ccccc1c1ccccc1","4.006","Log unit","0","4.0828","Log unit","","","-","-","TWBPWBPGNQWFSJ-UHFFFAOYSA"
"CC[C@@H](N)C(O)=O","-","R933175","M71615","-","-","2-AMINOBUTANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","9.83","Log unit","9.83","Log unit","NC(CC)C(=O)O","10.016","Log unit","0","9.5347","Log unit","","","-","-","QWCKQJZIFLGMSD-GSVOUGTGSA"
"NCCS(O)(=O)=O","-","R933176","M18600","-","-","2-AMINOETHANESULFONICACID2","-","Koerner","charochkina","A3555","12767145","-","-","9.06","Log unit","9.06","Log unit","NCCS(=O)(=O)O","10.483","Log unit","0","9.3439","Log unit","","","-","-","XOAAWQZATWQOTB-UHFFFAOYSA"
"NCCO","-","R933177","M4218","-","-","2-aminoethanol","-","Koerner","charochkina","A3555","12767145","-","-","9.5","Log unit","9.5","Log unit","NCCO","9.585","Log unit","0","9.5546","Log unit","","","-","-","HZAXFHJVJLSVMW-UHFFFAOYSA"
"CCCC[C@@H](N)C(O)=O","-","R933178","M122699","-","-","2-AMINOHEXANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","9.83","Log unit","9.83","Log unit","NC(CCCC)C(=O)O","10.061","Log unit","0","9.5266","Log unit","","","-","-","LRQKBLKVPFOOQJ-RXMQYKEDSA"
"CCC[C@@H](N)C(O)=O","-","R933179","M56023","-","-","2-AMINOPENTANOICACID2","-","Koerner","charochkina","A3555","12767145","-","-","9.81","Log unit","9.81","Log unit","NC(CCC)C(=O)O","10.163","Log unit","0","9.5269","Log unit","","","-","-","SNDPXSYFESPGGJ-SCSAIBSYSA"
"NC1=NC=CC=C1","-","R933180","M4302","-","-","2-Aminopyridine","-","Koerner","charochkina","A3555","12767145","-","-","6.71","Log unit","6.71","Log unit","n1c(cccc1)N","6.461","Log unit","0","6.836","Log unit","","","-","-","ICSNLGPSRYBMBD-UHFFFAOYSA"
"CC1=CC2=C(C=C1)N=C(CC1=CC=CC=C1)N2","-","R933181","M124438","-","-","2-BENZYL-6-METHYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","6.0","Log unit","6.0","Log unit","n1c([nH]c2cc(ccc12)C)Cc1ccccc1","5.594","Log unit","0","6.0914","Log unit","","","-","-","BEDBENSICYHSIA-UHFFFAOYSA"
"C(C1=CC=CC=C1)C1=NC=CC=C1","-","R933182","M8443","-","-","2-Benzylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","5.13","Log unit","5.13","Log unit","n1c(cccc1)Cc1ccccc1","5.434","Log unit","0","4.8613","Log unit","","","-","-","PCFUWBOSXMKGIP-UHFFFAOYSA"
"C([C@H]1CCCN1)C1=CC=CC=C1","-","R933183","M124439","-","-","2-BENZYLPYRROLIDINE","-","Koerner","charochkina","A3555","12767145","-","-","10.31","Log unit","10.31","Log unit","N1C(CCC1)Cc1ccccc1","9.876","Log unit","0","11.1102","Log unit","","","-","-","NKHMSOXIXROFRU-LLVKDONJSA"
"NC1=C(Br)C=C(C=C1N(=O)=O)N(=O)=O","-","R933184","M5936","-","-","2-Bromo-4,6-dinitroaniline","-","Koerner","charochkina","A3555","12767145","-","-","-6.94","Log unit","-6.94","Log unit","Nc1c(cc(cc1Br)N(=O)=O)N(=O)=O","-5.26","Log unit","0","-4.0482","Log unit","","","-","-","KWMDHCLJYMVBNS-UHFFFAOYSA"
"NC1=CC=CC=C1Br","-","R933185","M339","-","-","2-BROMOANILINE","-","Koerner","charochkina","A3555","12767145","-","-","2.53","Log unit","2.53","Log unit","Nc1c(cccc1)Br","0.977","Log unit","0","3.1827","Log unit","","","-","-","AOPBDRUWRLBSDB-UHFFFAOYSA"
"BrC1=NC=CC=C1","-","R933186","M4499","-","-","2-Bromopyridine","-","Koerner","charochkina","A3555","12767145","-","-","0.71","Log unit","0.71","Log unit","n1c(cccc1)Br","5.41","Log unit","0","1.4741","Log unit","","","-","-","IMRWILPUOVGIMU-UHFFFAOYSA"
"CC[C@@H](C)N","-","R933187","M121352","-","-","2-Butanamine","-","Koerner","charochkina","A3555","12767145","-","-","10.56","Log unit","10.56","Log unit","NC(CC)C","10.671","Log unit","0","10.439","Log unit","","","-","-","BHRZNVHARXXAHW-SCSAIBSYSA"
"CCCCC1=CCCN1C","-","R933188","M124440","-","-","2-BUTYL-1-METHYL-2-PYRROLINE","-","Koerner","charochkina","A3555","12767145","-","-","11.84","Log unit","11.84","Log unit","N1(CCC=C1CCCC)C","11.943","Log unit","0","10.0407","Log unit","","","-","-","GZXRSFNATVSNRV-UHFFFAOYSA"
"NC1=C(C=CC=C1Cl)N(=O)=O","-","R933189","M67700","-","-","2-Chloro-6-nitroaniline","-","Koerner","charochkina","A3555","12767145","-","-","-2.41","Log unit","-2.41","Log unit","Nc1c(cccc1N(=O)=O)Cl","-1.46","Log unit","0","-1.4506","Log unit","","","-","-","VOTXWUCYIOPNNR-UHFFFAOYSA"
"NC1=C(Cl)C=CC=C1","-","R933190","M213","-","-","2-chloroaniline","-","Koerner","charochkina","A3555","12767145","-","-","2.64","Log unit","2.64","Log unit","Nc1ccccc1Cl","3.734","Log unit","0","2.7896","Log unit","","","-","-","AKCRQHGQIJBRMN-UHFFFAOYSA"
"ClC1=CC=CC=N1","-","R933191","M8017","-","-","2-chloropyridine","-","Koerner","charochkina","A3555","12767145","-","-","0.49","Log unit","0.49","Log unit","n1ccccc1Cl","5.41","Log unit","0","1.131","Log unit","","","-","-","OKDGRDCXVWSXDC-UHFFFAOYSA"
"N#CC1=NC=CC=C1","-","R933192","M2561","-","-","2-cyanopyridine","-","Koerner","charochkina","A3555","12767145","-","-","-0.26","Log unit","-0.26","Log unit","n1c(cccc1)C#N","5.306","Log unit","0","0.9836","Log unit","","","-","-","FFNVQNRYTPFDDP-UHFFFAOYSA"
"C1CC=C(N1)C1CCCCC1","-","R933193","M124441","-","-","2-CYCLOHEXYL-2-PYRROLINE","-","Koerner","charochkina","A3555","12767145","-","-","7.91","Log unit","7.91","Log unit","N1C(=CCC1)C1CCCCC1","8.015","Log unit","0","10.733","Log unit","","","-","-","MQDYFDJRDDUYAL-UHFFFAOYSA"
"C1CN[C@H](C1)C1CCCCC1","-","R933194","M124442","-","-","2-CYCLOHEXYLPYRROLIDINE","-","Koerner","charochkina","A3555","12767145","-","-","10.76","Log unit","10.76","Log unit","N1C(CCC1)C1CCCCC1","10.903","Log unit","0","11.6584","Log unit","","","-","-","KRDXTHSSNCTAGY-SNVBAGLBSA"
"CCOC1=CC=CC=C1N","-","R933195","M18117","-","-","2-ETHOXYANILINE","-","Koerner","charochkina","A3555","12767145","-","-","4.47","Log unit","4.47","Log unit","Nc1ccccc1OCC","3.49","Log unit","0","4.4353","Log unit","","","-","-","ULHFFAFDSSHFDA-UHFFFAOYSA"
"CCC1=CCCN1","-","R933196","M124443","-","-","2-ETHYL-2-PYRROLINE","-","Koerner","charochkina","A3555","12767145","-","-","7.87","Log unit","7.87","Log unit","N1C(=CCC1)CC","7.761","Log unit","0","10.7661","Log unit","","","-","-","BHRDERJKRBPTOZ-UHFFFAOYSA"
"CCC1=CC=CC=C1N","-","R933197","M6855","-","-","2-Ethylaniline","-","Koerner","charochkina","A3555","12767145","-","-","4.42","Log unit","4.42","Log unit","Nc1ccccc1CC","4.002","Log unit","0","4.3993","Log unit","","","-","-","MLPVBIWIRCKMJV-UHFFFAOYSA"
