"SMILES","EXTERNALID","N","NAME","NAME","INTRODUCER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","IC group given","Temperature","UNIT {Temperature}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","COMMENTS","CASRN"
"OCC(O)=O","-","17","hydroxyacetic acid","-","Koerner","A3183","-","466","6","3.83","Log unit","O=C(O)CO","aliph. carboxylic acid","","-","","","-","","-","","-","79-14-1"
"COC1=CC=CC(OCC(O)=O)=C1","-","110","m-Methoxyphenoxyacetic acid","-","Koerner","A3183","-","468","6","3.14","Log unit","O=C(O)COc1cc(ccc1)OC","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","2088-24-6"
"CS(=O)(=O)C1=CC=C(C=C1)C(O)=O","-","44","p-Methylsulfonylbenzoic acid","-","Koerner","A3183","-","464","4","3.64","Log unit","O=C(O)c1ccc(S(=O)(=O)C)cc1","benzoic acid (meta/para subs.)","","-","","","-","","-","","-","4052-30-6"
"OC(=O)C1=C(O)C=CC=C1O","-","31","2,6-Dihydroxybenzoic Acid","-","Koerner","A3183","-","465","5","1.051","Log unit","O=C(O)c1c(O)cccc1O","benzoic acid (ortho subs.)","25.0","?C","","","-","","-","","-","303-07-1"
"OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1","-","126","ALCOFENAC","-","Koerner","A3183","-","468","6","4.29","Log unit","O=C(O)Cc1ccc(c(Cl)c1)OCC=C","aliph. carboxylic acid","","-","","","-","","-","","-","22131-79-9"
"OC(=O)COC1=CC=C(C=C1)[N+]([O-])=O","-","90","p-Nitrophenoxyacetic Acid","-","Koerner","A3183","-","467","6","2.89","Log unit","O=C(O)COc1ccc([N+](=O)[O-])cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1798-11-4"
"OC(=O)COC1=C(Br)C=CC=C1","-","109","o-Bromophenoxyacetic acid","-","Koerner","A3183","-","468","6","3.13","Log unit","O=C(O)COc1c(Br)cccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1879-56-7"
"COC1=CC=C(OCC(O)=O)C=C1","-","93","p-Methoxyphenoxyacetic acid","-","Koerner","A3183","-","467","6","3.21","Log unit","O=C(O)COc1ccc(cc1)OC","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1877-75-4"
"OC(=O)COC1=CC=C(C=C1)C#N","-","102","p-Cyanophenoxyacetic acid","-","Koerner","A3183","-","468","6","2.93","Log unit","O=C(O)COc1ccc(C#N)cc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-82-6"
"OC(=O)COC1=CC=CC(=C1)[N+]([O-])=O","-","99","m-Nitrophenoxyacetic Acid","-","Koerner","A3183","-","468","6","2.95","Log unit","O=C(O)COc1cc([N+](=O)[O-])ccc1","aliph. carboxylic acid","25.0","?C","","","-","","-","","-","1878-88-2"
