"SMILES","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC group given","IC smiles given","IC index predicted","AtomNR of IC","groupsAndICs","IC group detected","MultiGroupDetection","CASRN"
"NC1=NC=C(C=N1)C1=CC=C(Br)C=C1","2-amino-5-(4-bromophenyl)pyrimidine","-","A5793","-","-","-","3.06","Log unit","3.06","Log unit","25.0","?C","n1cc(c2ccc(Br)cc2)cnc1N","3.1566","Log unit","4","Br-c(ccc1c(cnc2N)cn2)cc1","7","","","","","-"
"CC(C)(C)C1=CC=NC(N)=N1","2-amino-4-t-butylpyrimidine","-","A5793","-","-","-","4.58","Log unit","4.58","Log unit","25.0","?C","n1ccc(C(C)(C)C)nc1N","4.1889","Log unit","4","n(ccc1C(C)(C)C)c(n1)N","0","","","","","-"
"NC(=O)C1=CN=CN=C1N","4-amino-5-carbamoylpyrimidine","-","A5793","-","-","-","4.13","Log unit","4.13","Log unit","25.0","?C","n1cnc(N)c(c1)C(=O)N","4.221","Log unit","6","n(cnc1N)cc1C(=O)N","0","","","","","-"
"CC1=NC(N)=C(C=N1)C(N)=O","4-amino-5-carbamoyl-2-methylpyrimidine","-","A5793","-","-","-","4.97","Log unit","4.97","Log unit","25.0","?C","n1cc(c(N)nc1C)C(=O)N","5.2591","Log unit","6","n(cc(c1N)C(=O)N)c(n1)C","0","","","","","-"
"NC1=NC=C(Cl)C=N1","2-Amino-5-chloropyrimidine","-","A5793","-","-","-","1.73","Log unit","1.73","Log unit","25.0","?C","n1cc(Cl)cnc1N","2.3935","Log unit","4","Cl-c(cnc1N)cn1","3","","","","","-"
"NC1=CC(Cl)=NC=N1","4-amino-6-chloropyrimidine","-","A5793","-","-","-","2.1","Log unit","2.1","Log unit","25.0","?C","n1cnc(Cl)cc1N","3.1926","Log unit","n","Cl-c(ncn1)cc1N","4","","","","","-"
"NC1=NC=C(Cl)C([O-])=N1","2-amino-5-chloro-4-hydroxypyrimidine","-","A5793","-","-","-","7.97","Log unit","7.97","Log unit","25.0","?C","[O-]c1nc(ncc1Cl)N","11.5777","Log unit","3","n1c(N)nc([O-1])c(Cl)c1","5","","","","","-"
"NC1=NC([O-])=CC(Cl)=N1","2-amino-6-chloro-4-hydroxypyrimidine","-","A5793","-","-","-","8.06","Log unit","8.06","Log unit","25.0","?C","[O-]c1cc(Cl)nc(n1)N","12.3301","Log unit","3","Cl-c(nc(n1)N)cc1[O-1]","8","","","","","-"
"NC1=NC([O-])=NC=C1Cl","4-amino-5-chloro-2-hydroxypyrimidine","-","A5793","-","-","-","10.36","Log unit","10.36","Log unit","25.0","?C","[O-]c1ncc(c(n1)N)Cl","12.9933","Log unit","4","n1c([O-1])nc(N)c(Cl)c1","2","","","","","-"
"NC1=CC(Cl)=NC([O-])=N1","4-amino-6-chloro-2-hydroxypyrimidine","-","A5793","-","-","-","8.59","Log unit","8.59","Log unit","25.0","?C","[O-]c1nc(Cl)cc(n1)N","12.7806","Log unit","3","Cl-c(nc([O-1])n1)cc1N","4","","","","","-"
"NC1=NC=C(C=N1)C1=CC=C(Cl)C=C1","2-amino-5-(4-chlorophenyl)pyrimidine","-","A5793","-","-","-","3.14","Log unit","3.14","Log unit","25.0","?C","n1cc(c2ccc(Cl)cc2)cnc1N","3.158","Log unit","4","Cl-c(ccc1c(cnc2N)cn2)cc1","7","","","","","-"
"NC1=NC=C(C=N1)C#N","2-amino-5-cyanopyrimidine","-","A5793","-","-","-","0.66","Log unit","0.66","Log unit","25.0","?C","n1cc(cnc1N)C#N","-0.2912","Log unit","4","n(cc(c1)C#N)c(n1)N","0","","","","","-"
"NC1=NC=NC=C1C#N","4-amino-5-cyanopyrimidine","-","A5793","-","-","-","2.49","Log unit","2.49","Log unit","25.0","?C","n1cnc(N)c(c1)C#N","1.9692","Log unit","4","n(cnc1N)cc1C#N","0","","","","","-"
"CC1=NC(N)=NC(C)=C1C#N","2-amino-5-cyano-4,6-dimethylpyrimidine","-","A5793","-","-","-","1.67","Log unit","1.67","Log unit","25.0","?C","n1c(c(C#N)c(nc1N)C)C","1.9224","Log unit","4","N#C-c(c(nc1N)C)c(n1)C","4","","","","","-"
"CC1=C(C=NC(N)=N1)C#N","2-amino-5-cyano-4-methylpyrimidine","-","A5793","-","-","-","1.14","Log unit","1.14","Log unit","25.0","?C","n1cc(c(C)nc1N)C#N","0.8556","Log unit","4","n(cc(c1C)C#N)c(n1)N","0","","","","","-"
"CC1=NC(N)=C(C=N1)C#N","4-Amino-5-cyano-2-methylpyrimidine","-","A5793","-","-","-","3.51","Log unit","3.51","Log unit","25.0","?C","n1cc(c(N)nc1C)C#N","2.9419","Log unit","4","n(cc(c1N)C#N)c(n1)C","0","","","","","-"
"COC1=CC(N)=NC(OC)=N1","4-Amino-2,6-dimethoxypyrimidine","-","A5793","-","-","-","3.22","Log unit","3.22","Log unit","25.0","?C","n1c(cc(OC)nc1OC)N","4.148","Log unit","4","n(c(cc1OC)N)c(n1)OC","0","","","","","-"
"CC1=NC(C)=NC(N)=C1","4-Amino-2,6-dimethylpyrimidine","-","A5793","-","-","-","6.935","Log unit","6.935","Log unit","25.0","?C","n1c(nc(cc1C)N)C","7.2469","Log unit","3","n(c(nc1C)C)c(c1)N","2","","","","","-"
"NC1=NC=CC([O-])=N1","2-Amino-4-hydroxypyrimidine","-","A5793","-","-","-","9.54","Log unit","9.54","Log unit","25.0","?C","[O-]c1nc(ncc1)N","12.9829","Log unit","4","[O-1]-c(nc(n1)N)cc1","0","","","","","-"
"NC1=CC([O-])=NC=N1","4-Amino-6-hydroxypyrimidine","-","A5793","-","-","-","10.1","Log unit","10.1","Log unit","25.0","?C","[O-]c1ncnc(c1)N","12.8354","Log unit","4","[O-1]-c(ncn1)cc1N","0","","","","","-"
"CC1=CN=C([O-])N=C1N","4-Amino-2-hydroxy-5-methylpyrimidine","-","A5793","-","-","-","12.4","Log unit","12.4","Log unit","25.0","?C","[O-]c1ncc(C)c(n1)N","13.8701","Log unit","4","[O-1]-c(ncc1C)nc1N","0","","","","","-"
