"SMILES","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","CASRN"
"C\C(O)=C\CC(O)=O","4-HYDROXY-3-PENTENOICACID","-","A3555","12767145","-","-","4.3","Log unit","4.3","Log unit","OC(=O)CC=C(C)O","4.25","Log unit","0","4.4268","Log unit","","","-","-"
"OC1=CC=C(C=C1)C(F)(F)F","4-HYDROXY-A,A,A-TRIFLUOROTOLUENE","-","A3555","12767145","-","-","8.68","Log unit","8.68","Log unit","Oc1ccc(cc1)C(F)(F)F","8.65","Log unit","0","9.387","Log unit","","","-","-"
"OC1=CC=C(C=O)C=C1","4-hydroxybenzaldehyde","-","A3555","12767145","-","-","7.62","Log unit","7.62","Log unit","Oc1ccc(cc1)C=O","7.83","Log unit","0","7.3207","Log unit","","","-","-"
"OC(=O)C1=CC=C(O)C=C1","4-HYDROXYBENZOICACID","-","A3555","12767145","-","-","4.58","Log unit","4.58","Log unit","OC(=O)c1ccc(cc1)O","4.61","Log unit","0","4.38","Log unit","","","-","-"
"OC1=CC=C(C=C1)C#N","4-hydroxybenzonitrile","-","A3555","12767145","-","-","7.95","Log unit","7.95","Log unit","Oc1ccc(cc1)C#N","7.75","Log unit","0","7.815","Log unit","","","-","-"
"CC1=CC=C(O)C=C1","4-Hydroxytoluene","-","A3555","12767145","-","-","10.28","Log unit","10.28","Log unit","Oc1ccc(cc1)C","10.04","Log unit","0","10.3573","Log unit","","","-","-"
"OC1=C2CCCC2=CC=C1","4-Indanol","-","A3555","12767145","-","-","10.32","Log unit","10.32","Log unit","Oc1cccc2c1CCC2","10.31","Log unit","0","10.3775","Log unit","","","-","-"
"OC(=O)C1=CC=C(I)C=C1","4-IODOBENZOICACID","-","A3555","12767145","-","-","4.0","Log unit","4.0","Log unit","OC(=O)c1ccc(cc1)I","3.89","Log unit","0","4.0451","Log unit","","","-","-"
"OC1=CC=C(I)C=C1","4-Iodophenol","-","A3555","12767145","-","-","9.2","Log unit","9.2","Log unit","Oc1ccc(cc1)I","9.1","Log unit","0","9.0999","Log unit","","","-","-"
"OC(=O)COC1=CC=C(I)C=C1","4-IODOPHENOXYACETICACID","-","A3555","12767145","-","-","3.16","Log unit","3.16","Log unit","OC(=O)COc1ccc(cc1)I","3.19","Log unit","0","2.6507","Log unit","","","-","-"
