href,name,weight,smiles,pKa,pKa source,pKa notes
https://www.drugbank.ca/drugs/DB03904,Urea,60.0553,NC(N)=O,0.1,"PERRIN,DD (1965)",0.1 (at 21 °C)
https://www.drugbank.ca/drugs/DB11757,Istradefylline,384.436,[H]\C(=C(\[H])C1=CC(OC)=C(OC)C=C1)C1=NC2=C(N1C)C(=O)N(CC)C(=O)N2CC,0.78,FDA Label,0.78
https://www.drugbank.ca/drugs/DB00138,Cystine,240.3,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,1,MERCK INDEX (1996),1
https://www.drugbank.ca/drugs/DB01003,Cromoglicic acid,468.3665,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,1.1,"SANGSTER,J (1993)",1.1
https://www.drugbank.ca/drugs/DB00120,Phenylalanine,165.1891,N[C@@H](CC1=CC=CC=C1)C(O)=O,1.24,"KORTUM,G ET AL (1961)",1.24 (at 25 °C)
https://www.drugbank.ca/drugs/DB08809,Dichloroacetic acid,128.942,OC(=O)C(Cl)Cl,1.26,"MARUTHAMUTHU,P &amp; HUIE,RE (1995)",1.26
https://www.drugbank.ca/drugs/DB01217,Anastrozole,293.3663,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,1.4,Canadian label (DPD),1.4
https://www.drugbank.ca/drugs/DB01435,Antipyrine,188.2258,CN1N(C(=O)C=C1C)C1=CC=CC=C1,1.4,SANGSTER (1994),1.4
https://www.drugbank.ca/drugs/DB01956,Taurine,125.147,NCCS(O)(=O)=O,1.5,Dawson et al. Data for Biochemical Research. 3 ed. (1986),1.5
https://www.drugbank.ca/drugs/DB00151,Cysteine,121.158,N[C@@H](CS)C(O)=O,1.71,MERCK INDEX (1996); pK1,1.71
https://www.drugbank.ca/drugs/DB00196,Fluconazole,306.2708,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,1.76,https://www.pfizer.ca/sites/g/files/g10017036/f/201410/DIFLUCAN(2).pdf,1.76
https://www.drugbank.ca/drugs/DB00859,Penicillamine,149.211,[H][C@](N)(C(O)=O)C(C)(C)S,1.8,MERCK for CO; NH2-7.9; thiol-10.5,1.8
https://www.drugbank.ca/drugs/DB00951,Isoniazid,137.1393,NNC(=O)C1=CC=NC=C1,1.82,"PERRIN,DD (1965)",1.82 (at 20 °C)
https://www.drugbank.ca/drugs/DB00129,Ornithine,132.161,NCCC[C@H](N)C(O)=O,1.94,"KORTUM,G ET AL (1961)",1.94 (at 25 °C)
https://www.drugbank.ca/drugs/DB09031,Miltefosine,407.576,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,2,"<span class=""not-available"">Not Available</span>",~2
https://www.drugbank.ca/drugs/DB00128,Aspartic acid,133.1027,N[C@@H](CC(O)=O)C(O)=O,2.01,"KORTUM,G ET AL (1961)",2.01 (at 0 °C)
https://www.drugbank.ca/drugs/DB00233,Aminosalicylic acid,153.1354,NC1=CC(O)=C(C=C1)C(O)=O,2.05,"KORTUM,G ET AL (1961)",2.05 (at 25 °C)
