Group,IUPAC name,Common name,#C,#H,#O,pKa1,pKa2,Molweight g/mol,Melting temp °C,Boiling temp°C,Density @20°C g/ml,href
"1-alkanol","Methanol","Methyl alcohol","1","4","1","15.5","","32.04","-98","65","0.791",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"1-alkanol","Ethanol","Ethyl alcohol","2","6","1","15.5","","46.07","-114","78","0.789",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"1-alkanol","1-propanol","Propyl alcohol","3","8","1","16.1","","60.09","-124","97","0.804",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"1-alkanol","1-butanol","Butyl alcohol","4","10","1","16.1","","74.12","-89","118","0.810",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"2-alkanol","2-propanol","Isopropyl alcohol, isopropanol","3","8","1","17.2","","60.09","-88","82","0.785",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"2-alkanol","2-butanol","sec-butyl alcohol","4","10","1","17.6","","74.12","-88","99","0.806",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"2-alkanol","2-pentanol","sec-amyl alcohol","5","12","1","17.8","","88.15","-73","119","0.809",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"3-alkanol","3-pentanol","Diethyl carbinol","5","12","1","18.2","","88.15","-70","123","0.820",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"Phenols","Phenol","Hydroxybenzene","6","6","1","9.98","","94.11","41","181","1.132*",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"Phenols","1,2-Benzenediol","Catechol, pyrocatechol","6","6","2","9.45","12.8","110.11","102","245","1.344*",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"Phenols","1,3-Benzenediol","Resorcinol","6","6","2","9.2","11.3","110.11","110","277","1.278",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
"Phenols","1,4-Benzenediol","Hydroquinone, 1,4-Dihydroxybenzene","6","6","2","10.9","11.4","110.11","171","285","",https://www.engineeringtoolbox.com/paraffinic-benzoic-hydroxy-dioic-acids-structure-pka-carboxylic-dissociation-constant-alcohol-phenol-d_1948.html
